Barcode,sku,Expected Stock,Free Stock,expectedNextDeliveryDate
8720938245817,8720938245817,400,24,2024-01-05
8720938245800,8720938245800,500,10,2024-01-05
8721082009591,8721082009591,300,296,2024-01-05
8721082009584,8721082009584,400,400,2024-01-05
8721082009577,8721082009577,500,0,2024-03-04
8721082009195,8721082009195,504,0,2024-02-04
8721082009263,8721082009263,500,0,2024-03-02
,8721082009539,0,0,
,8721082009546,0,0,
,8721082009553,0,0,
,8721082009560,0,0,
,8721082009379,0,0,
,8721082009386,0,0,
,8721082009393,0,0,
,8721082009409,0,0,
,8721082009416,0,0,
,8721082009423,0,0,
,8721082009430,0,0,
,8721082009447,0,0,
,8721082009454,0,0,
,8721082009461,0,0,
,8721082009478,0,0,
,8721082009485,0,0,
,8721082009492,0,0,
,8721082009508,0,0,
,8721082009515,0,0,
,8721082009522,0,0,
,Tafellamp-27cm,0,0,
,8720938245831,0,0,
,8720938245824,0,-1,
,8720938245848,0,199,
,8720938245855,0,199,
,8720938245862,0,196,
,8721082009362,0,0,
,8721082009355,0,0,
,8721082009348,0,0,
,8721082009331,0,0,
,8721082009324,0,0,
,8721082009317,0,0,
,8721082009300,0,0,
,8721082009294,0,0,
,8721082009287,0,0,
,8721082009270,0,0,
8721082009218,8721082009218,402,0,2024-02-18
,8720828084991,0,0,
8720938245787,8720938245787,0,210,
8720938245794,8720938245794,0,113,
8721082009133,8721082009133,600,0,2024-02-04
8721082009102,8721082009102,300,0,2024-02-05
8721082009126,8721082009126,600,0,2024-02-04
,8721082009157,0,0,
,8721082009140,0,0,
,8721082009119,0,650,
,8720938245749,0,257,
8720938245770,8720938245770,400,23,2024-02-18
8720938245763,8720938245763,120,200,2024-02-18
,8721082009072,0,0,
8720938245992,8720938245992,500,0,2023-12-28
8721082009003,8721082009003,250,0,2024-01-15
8721082009010,8721082009010,250,0,2024-01-15
8721082009027,8721082009027,250,0,2024-01-15
8721082009096,8721082009096,360,0,2024-03-01
8721082009089,8721082009089,360,0,2024-03-01
8720938245930,8720938245930,820,0,2024-01-15
8720938245893,8720938245893,0,480,
,8720828084595,0,0,
,8721082009065,700,312,2023-11-18
,8720938245688,700,538,2023-11-18
8720938245695,8720938245695,700,497,2023-11-18
8720938245664,8720938245664,700,7,2023-11-18
8720938245671,8720938245671,700,678,2023-11-18
8720938245657,8720938245657,700,354,2023-11-18
8720938245978,8720938245978,450,0,2023-12-14
,8721082009058,1150,4,2023-12-15
,8721082009041,0,216,
,8721082009034,0,258,
,8720938245756,1500,5,2024-01-15
,8720938245985,201,123,2023-11-18
,8720938245954,300,90,2024-02-18
8720938245947,8720938245947,500,0,2024-01-15
8720938245923,8720938245923,350,0,2023-12-23
8720938245909,8720938245909,350,0,2023-12-23
8720938245916,8720938245916,350,0,2023-12-23
8720938245602,8720938245602,200,19,2023-12-31
8720938245619,8720938245619,350,12,2023-12-31
,8720165097357,0,3,
8720938245718,8720938245718,0,667,
8720938245404,8720938245404,0,464,
,123456788,0,0,
,123456789,0,2,
,8720938245633,3200,998,2023-10-20
,7898553188688,0,492,
8720938245589,8720938245589,550,279,2023-12-05
8720938245572,8720938245572,700,277,2023-11-18
8720938245503,8720938245503,0,202,
8720938245510,8720938245510,0,0,
,12345,0,199,
,1234,0,60,
,8720938245497,0,261,
,8720938245480,300,132,2024-03-05
8720938245442,8720938245442,150,302,2023-12-17
8720938245282,8720938245282,150,363,2023-12-17
8720938245305,8720938245305,0,235,
8720938245244,8720938245244,0,143,
8720938245312,8720938245312,150,198,2023-12-17
8720938245466,8720938245466,0,165,
8720938245473,8720938245473,325,134,2023-10-17
8720938245299,8720938245299,150,429,2023-12-17
8720938245251,8720938245251,175,16,2023-10-17
8720938245435,8720938245435,150,277,2023-12-17
8720938245459,8720938245459,175,0,2023-10-17
8720938245275,8720938245275,150,221,2023-12-17
8720938245213,8720938245213,1200,0,2024-01-02
8720938245268,8720938245268,325,106,2023-10-17
,8720938245428,360,32,2024-03-01
,8720938245411,0,236,
,6941057400273,0,0,
,8720938245121,500,19,2024-02-10
